iter	Passed	Remaining
434	1974	25644435	1978	25594436	1981	25544437	1986	25444438	1991	25444439	1994	25394440	1998	25344441	2002	25244442	2008	2525
443	2012	25144444	2015	2513
445	2019	25044446	2025	25064447	2029	25044448	2034	2496
449	2038	24914450	2042	2485
451	2045	2480
452	2049	2474
453	2053	2469
454	2058	2465
455	2061	2459
456	2064	24534457	2070	24504458	2074	2445459	2079	2440
460	2082	24354461	2088	2432
462	2092	2426
463	2096	2422
464	2100	2417
4465	2106	2413466	2109	24074467	2113	240144468	2121	24014469	2126	23944470	2131	23944471	2136	23844472	2139	23844473473	2156	4474	474	2160	4475	475	2165	476	2476	2168	477	2477	2176	478	2478	2182	2373
479	2187	23480480	2192	23481481	2197	2361
482	2200	2355
483	2205	2351
484	2211	2348
485	2215	2343
486	2219	23487487	2225	23488488	2230	23489489	2233	23490490	2238	23491491	2242	49492492	2246	493	2493	2250	49494	2249	22949495495	2259	49496	2258	22849497497	2268	49498498	2277	49499499	2283	500	2500	2287	501	2501	2292	502	2502	2296	503	2503	2301	504	2504	2306	505	2302	2247
506	2506	2314	507	2309	2237
508	2316	2235
509	2321	2230
510	2327	2227
511	2332	2222
512	2335	2217
513	2339	2212
514	2347	2210
515	2350	2205
516	2354	2200
517	2358	2194
518	2363	2190
519	2368	2186
520	2371	2180
521	2376	2176
522	2380	2171
523	2384	2165
524	2387	2160
525	2391	2155
526	2396	2150
527	2400	2145
528	2403	2140
529	2408	2136
530	2415	2133
531	2421	2129
532	2425	2124
533	2429	2120
534	2433	2114
535	2535	2445	536	2536	2450	537	2537	2454	538	2538	2458	539	2539	2462	5540	540	2465	5541	541	2474	2542	542	2477	2543	543	2482	2544	544	2486	2545	545	2490	2546	546	2494	2547	547	2499	2548	548	2503	2549	549	2507	2550	550	2511	2551	551	2516	2552	552	2520	2553	553	2524	2554	554	2528	2555	555	2532	2556	556	2536	2557	557	2540	2558	558	2545	2007
559	2550	2560	560	2555	1999
561	2558	1994
562	2562	1989
563	2567	1984
564	2571	1980
565	2576	1975
566	2581	1971
567	2585	1568	568	2589	1569	569	2592	1955
570	2596	1950
571	2601	1572	572	2605	1573	573	2608	1574	574	2612	1575	575	2619	1576	576	2624	1577	577	2628	1578	578	2635	1916
579	2639	1911
580	2643	1906
581	2648	1901
582	2653	1898
583	2657	1892
584	2659	1585	585	2665	1586	586	2668	1587	587	2672	1588	588	2676	1589	589	2680	1590	590	2686	1591	591	2690	1854
592	2695	1849
593	2701	1846
594	2706	1841
595	2709	1836
596	2713	1597	597	2717	1598	598	2723	1599	599	2727	1600	600	2733	1814
601	2735	1602	602	2740	1804
603	2745	1604	604	2750	1605	605	2753	1606	606	2757	1607	607	2764	1608	608	2770	1609	609	2776	1774
610	2781	1770
611	2785	1765
612	2789	1760
613	2793	1756
614	2797	1751
615	2801	1616	616	2804	1741
617	2810	1737
618	2815	1733
619	2819	1727
620	2822	1722
621	2827	1718
622	2832	1623	623	2836	1624	624	2839	1625	625	2843	1626	626	2848	1627	627	2852	1628	628	2856	1629	629	2862	1630	630	2865	1631	631	2869	1632	2865	1661
633	2871	1657
634	2874	1652
635	2878	1647
636	636	2892	1637	637	2897	1638	638	2901	1639	2894	1628
640	2899	1624
641	2904	1619
642	2909	1615
643	643	2923	1644	644	2928	1645	645	2934	1607
646	2937	1647	647	2945	1599
648	2948	1594
649	2952	1589
650	2958	1586
651	2963	1581
652	2969	1577
653	2974	1573
654	2978	1568
655	2982	1564
656	2988	1560
657	2994	1556
658	2997	1551
659	3001	1545
660	3008	1542
661	3011	1537
662	3014	1532
663	3018	1527
664	3024	1523
